Callee Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
com.google.code.gson:gson:2.8.8	com.google.gson.functional.FieldNamingTest$TestNames::lower_words	com.google.gson.functional.FieldNamingTest$TestNames	com.google.gson.functional.FieldNamingTest$TestNames	int	false	default	unknownLib	true	10
com.google.code.gson:gson:2.8.8	com.google.gson.functional.ObjectTest$ClassWithPrivateNoArgsConstructor::a	com.google.gson.functional.ObjectTest$ClassWithPrivateNoArgsConstructor	com.google.gson.functional.ObjectTest$ClassWithPrivateNoArgsConstructor	int	false	public	unknownLib	true	1
com.google.code.gson:gson:2.8.8	com.google.gson.functional.NullObjectAndFieldTest$ClassWithNullWrappedPrimitive::value	com.google.gson.functional.NullObjectAndFieldTest$ClassWithNullWrappedPrimitive	com.google.gson.functional.NullObjectAndFieldTest$ClassWithNullWrappedPrimitive	java.lang.Long	false	private	unknownLib	true	3
com.google.code.gson:gson:2.8.8	com.google.gson.functional.FieldNamingTest$TestNames::lowerId	com.google.gson.functional.FieldNamingTest$TestNames	com.google.gson.functional.FieldNamingTest$TestNames	int	false	default	unknownLib	true	10
com.google.code.gson:gson:2.8.8	com.google.gson.functional.ConcurrencyTest$MyObject::i	com.google.gson.functional.ConcurrencyTest$MyObject	com.google.gson.functional.ConcurrencyTest$MyObject	int	false	default	unknownLib	true	329
com.google.code.gson:gson:2.8.8	java.io.IOException::suppressedExceptions	java.lang.Throwable	java.io.IOException	java.util.List<java.lang.Throwable>	false	private	unknownLib	true	4
com.google.code.gson:gson:2.8.8	com.google.gson.common.TestTypes$ClassWithCustomTypeConverter::bag	com.google.gson.common.TestTypes$ClassWithCustomTypeConverter	com.google.gson.common.TestTypes$ClassWithCustomTypeConverter	com.google.gson.common.TestTypes$BagOfPrimitives	false	private	unknownLib	true	3
com.google.code.gson:gson:2.8.8	com.google.gson.functional.CollectionTest$ObjectWithWildcardCollection::collection	com.google.gson.functional.CollectionTest$ObjectWithWildcardCollection	com.google.gson.functional.CollectionTest$ObjectWithWildcardCollection	java.util.Collection<? extends com.google.gson.common.TestTypes$BagOfPrimitives>	false	private	unknownLib	true	3
com.google.code.gson:gson:2.8.8	com.google.gson.functional.ExposeFieldsTest$ClassWithExposedFields::a	com.google.gson.functional.ExposeFieldsTest$ClassWithExposedFields	com.google.gson.functional.ExposeFieldsTest$ClassWithExposedFields	java.lang.Integer	false	private	unknownLib	true	11
com.google.code.gson:gson:2.8.8	com.google.gson.functional.NamingPolicyTest$ClassWithDuplicateFields::b	com.google.gson.functional.NamingPolicyTest$ClassWithDuplicateFields	com.google.gson.functional.NamingPolicyTest$ClassWithDuplicateFields	java.lang.Double	false	public	unknownLib	true	2
